BTC,NFLX
650.409973,61.192856
651.669983,61.447144
655.619995,60.441429
642.950012,61.184284
597.130005,61.42857
610.349976,60.349998
583.419983,61.101429
605.090027,61.465714
606.210022,63.378571
600.169983,64.097145
590.75,63.055714
597.039978,62.882858
588.77002,62.78857
568.450012,62.337143
582.700012,63.458572
602.22998,62.80143
597.559998,63.154285
643.190002,62.942856
645.719971,67.585716
638.030029,66.677139
623.960022,67.478569
615.320007,65.802856
623,63.578571
618.390015,63.285713
632.900024,62.650002
635.900024,62.851429
619.599976,64.654289
614.799988,64.155716
626.580017,63.491428
627.469971,62.765713
627.039978,63.452858
622.530029,64.564285
621.690002,61.584286
601.869995,61.128571
600.5,60.76857
596,60.265713
585.77002,60.665714
564.640015,60.611427
589.52002,62.05143
598.780029,60.388573
591.719971,60.771427
588.76001,60.385715
589.77002,60.407143
592.799988,61.471428
595.849976,64.238571
589.52002,63.692856
567.659973,64.505714
542.099976,63.772858
504.799988,64.504288
496.450012,64.410004
522.01001,65.584282
485.119995,66.571426
516.780029,66.878571
517.940002,67.455711
516.099976,67.435715
497.679993,68.455711
512.559998,68.704285
515.22998,68.480003
510.75,67.814285
512.559998,67.887146
505.959991,68.234283
480.040009,68.085716
490.98999,68.19857
483.649994,67.524284
484.470001,67.954285
474.899994,68.475716
479.700012,68.43
478.48999,69.19857
477.730011,68.794289
478.170013,68.078575
466.75,65.39286
461.089996,65.272858
424.26001,64.932854
397.670013,65.572861
411.529999,65.360001
436.859985,63.254284
423.769989,63.414288
412.290009,64.365715
404.459991,63.355713
399.019989,64.10714
388.170013,64.222855
382.839996,64.454285
375.140015,62.685715
363.450012,64.28286
335.320007,65.648575
331.649994,66.211426
350.869995,65.178574
360.910004,66.694283
361.709991,65.945717
361.220001,64.582855
397.100006,62.654285
393.170013,64.160004
379.769989,64.084282
380.480011,51.671429
390.880005,51.012856
382.350006,51.317142
378.929993,52.284286
355.779999,53.521427
355.100006,54.720001
346.720001,55.002857
350.089996,54.200001
351.059998,55.174286
335.119995,54.014286
344.859985,54.144287
337.869995,56.110001
324.23999,55.487144
327.959991,54.682858
338.01001,54.34
347.670013,54.757141
341.869995,54.880001
367.149994,55.324287
365.420013,54.650002
432.029999,54.837143
428.720001,54.201427
396.529999,55.148571
384.690002,54.44857
379.160004,54.432858
381.429993,51.871429
357.299988,52.591427
351.769989,51.468571
378.850006,50.924286
376.429993,49.855713
365.350006,50.165714
377.589996,49.512856
378.609985,48.830002
380.640015,50.330002
376.959991,50.73143
369.839996,50.085712
377.630005,50.131428
364.950012,48.497143
352.190002,49.111427
347.940002,47.759998
347.679993,47.804287
353.399994,47.782856
345.369995,46.720001
330.220001,45.205715
320.019989,47.664288
310.339996,47.774284
317.779999,48.58857
330.839996,48.097141
335.25,48.061428
322.399994,48.871429
329.980011,48.578571
314.119995,48.847141
311.269989,49.032856
318.23999,48.80143
315.209991,49.848572
274.839996,47.311428
282.269989,46.501427
291.339996,46.742859
282.690002,47.779999
287.970001,47.041428
269.329987,45.547142
221.289993,46.255714
164.919998,46.32
209.779999,46.251427
206.919998,48.191429
210.550003,49.828571
228.169998,58.468571
232.699997,61.205715
232.169998,62.494286
269.179993,63.794285
263.269989,64.881432
236.169998,63.208572
233.990005,63.400002
231.839996,63.114285
238.860001,63.009998
227.410004,65.274284
226.580002,64.101425
216.520004,64.129997
222.960007,63.48
220.339996,63.295715
219.669998,64.849998
218.830002,64.984283
221.789993,65.247147
236.169998,66.585716
243.199997,67.137146
235.199997,67.865715
241.919998,67.800003
244.520004,68.314285
238.820007,67.405716
238.889999,67.839996
237.330002,68.332855
236.529999,69.004288
253.470001,67.844284
273.75,68.60714
280.649994,67.815712
271.920013,67.110001
275.230011,66.807144
272.559998,64.874283
290.019989,63.66143
291.369995,62.151428
295.600006,62.884285
293.850006,64.045715
287.209991,62.628571
290.410004,60.281429
285.380005,59.78857
255.919998,60.445713
260.929993,60.744286
261.779999,61.185715
265.459991,60.714287
246.720001,62.611427
246.369995,60.25
248.020004,59.751427
247.210007,59.252857
244.149994,60.367142
246.240005,59.527142
252.600006,59.017143
254.479996,59.154285
252.970001,60.330002
244.570007,60.494286
243.320007,63.049999
234.729996,62.785713
236.479996,64.938568
217.990005,67.811432
222.970001,68.387146
227.979996,67.922859
222.589996,80.292854
223.350006,81.650002
233.729996,81.055717
233.779999,80.062859
235.399994,79.668571
231.089996,79.865715
226.139999,79.771431
225.809998,80.868568
225.419998,80.437141
235.770004,80.407143
233.210007,79.5
235.339996,79.575714
235.820007,79.271431
230.029999,80.792854
237.729996,80.077141
243.740005,80.748573
241.399994,82.085716
241.580002,84.278572
236.380005,83.377144
236.899994,82.872856
